"","deputy_name","deputy_state","political_party","refund_description","company_name","company_id","refund_date","refund_value"
"1","PROFESSORA DORINHA SEABRA REZENDE","TO","DEM","FLIGHT TICKET","Cia Aérea - TAM",2012862000160,"2016-07-29T00:00:00",937.63
"2","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","CASCOL COMBUSTIVEIS PARA VEICULOS LTDA",306597005085,"2016-06-21T00:00:00",150
"3","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","CASCOL COMBUSTIVEIS PARA VEICULOS LTDA",306597005085,"2016-06-01T00:00:00",100
"4","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","MEGA POSTO BERIMBAU LTDA - ME",1855960000100,"2016-04-19T00:00:00",168.07
"5","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","MEGA POSTO BERIMBAU LTDA - ME",1855960000100,"2016-08-13T00:00:00",239.57
"6","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-01-14T00:00:00",202.09
"7","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO 212 SUL LTDA",595058000125,"2016-11-15T00:00:00",100
"8","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA",37128477000200,"2016-07-04T00:00:00",150
"9","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA",37128477000200,"2016-02-16T00:00:00",172
"10","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO GAMELEIRA LTDA",13570353000200,"2016-12-12T00:00:00",50
"11","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO GAMELEIRA LTDA",13570353000200,"2016-01-22T00:00:00",20
"12","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO ELITE",13712435000300,"2016-05-17T00:00:00",128
